You are an independent expert visual-design judge. You are evaluating one anonymous SAME-TASK GROUP of 78 rendered web artifacts. Every image responds to the exact same brief. The 78 candidates are shuffled. You do not know or infer method, repeat, or round.

Inspect every supplied 1280x800 screenshot at original resolution. You may compare candidates within this same-task group to calibrate consistent standards and notice relative strengths or regressions, but each score and reason must assess that image itself against the brief. Do not rank candidates and do not force score separation.

Score each dimension independently as an integer from 0 to 100, using the full scale rather than multiples of five:
1. brief_intent_alignment: visibly and substantively fulfills requested content, relationships, atmosphere, and intended experience; do not reward polish achieved by omission.
2. clarity_information_hierarchy: focal dominance, grouping, reading order, density, legibility, and relationships make importance and use clear.
3. visual_system_craft: geometry, palette, typography, spacing, alignment, components, illustration and details form a coherent production-quality system; penalize clipping, collisions, roughness and unfinished details.
4. expressiveness_distinctiveness: memorable content-specific identity, meaningful variation, and authored point of view rather than generic template styling or arbitrary decoration.
5. overall: independent holistic judgment, NOT an arithmetic mean of the four axes.

Anchors: 0-19 absent/broken; 20-39 major failures; 40-59 mixed with substantial problems; 60-74 solid with meaningful weaknesses; 75-89 strong and convincing; 90-100 exceptional and highly resolved.

For every score, give an image-specific reason containing at least one visible strength and one visible defect or limitation. Do not infer hidden behavior. Avoid reusable template reasons. Output one JSON array in the supplied candidate order and no markdown. Each object must have exactly:
{"blind_id":"...","brief_intent_alignment":{"score":0,"reason":"..."},"clarity_information_hierarchy":{"score":0,"reason":"..."},"visual_system_craft":{"score":0,"reason":"..."},"expressiveness_distinctiveness":{"score":0,"reason":"..."},"overall":{"score":0,"reason":"..."}}

GROUP_ID: TG27
BRIEF: Create a single-page SVG botanical study of a green clover. Make one detailed three-leaf clover the dominant specimen, with three heart-shaped leaflets, a curved stem, visible veins, subtle serration and natural color variation. Add a few restrained scientific or field-note accents without competing with the plant. Put strong emphasis on organic silhouette, believable botanical detail, layered green tones, generous negative space, and refined vector finish.
CANDIDATES (all must be inspected and scored):
TG27_I001: images/TG27_I001.png
TG27_I002: images/TG27_I002.png
TG27_I003: images/TG27_I003.png
TG27_I004: images/TG27_I004.png
TG27_I005: images/TG27_I005.png
TG27_I006: images/TG27_I006.png
TG27_I007: images/TG27_I007.png
TG27_I008: images/TG27_I008.png
TG27_I009: images/TG27_I009.png
TG27_I010: images/TG27_I010.png
TG27_I011: images/TG27_I011.png
TG27_I012: images/TG27_I012.png
TG27_I013: images/TG27_I013.png
TG27_I014: images/TG27_I014.png
TG27_I015: images/TG27_I015.png
TG27_I016: images/TG27_I016.png
TG27_I017: images/TG27_I017.png
TG27_I018: images/TG27_I018.png
TG27_I019: images/TG27_I019.png
TG27_I020: images/TG27_I020.png
TG27_I021: images/TG27_I021.png
TG27_I022: images/TG27_I022.png
TG27_I023: images/TG27_I023.png
TG27_I024: images/TG27_I024.png
TG27_I025: images/TG27_I025.png
TG27_I026: images/TG27_I026.png
TG27_I027: images/TG27_I027.png
TG27_I028: images/TG27_I028.png
TG27_I029: images/TG27_I029.png
TG27_I030: images/TG27_I030.png
TG27_I031: images/TG27_I031.png
TG27_I032: images/TG27_I032.png
TG27_I033: images/TG27_I033.png
TG27_I034: images/TG27_I034.png
TG27_I035: images/TG27_I035.png
TG27_I036: images/TG27_I036.png
TG27_I037: images/TG27_I037.png
TG27_I038: images/TG27_I038.png
TG27_I039: images/TG27_I039.png
TG27_I040: images/TG27_I040.png
TG27_I041: images/TG27_I041.png
TG27_I042: images/TG27_I042.png
TG27_I043: images/TG27_I043.png
TG27_I044: images/TG27_I044.png
TG27_I045: images/TG27_I045.png
TG27_I046: images/TG27_I046.png
TG27_I047: images/TG27_I047.png
TG27_I048: images/TG27_I048.png
TG27_I049: images/TG27_I049.png
TG27_I050: images/TG27_I050.png
TG27_I051: images/TG27_I051.png
TG27_I052: images/TG27_I052.png
TG27_I053: images/TG27_I053.png
TG27_I054: images/TG27_I054.png
TG27_I055: images/TG27_I055.png
TG27_I056: images/TG27_I056.png
TG27_I057: images/TG27_I057.png
TG27_I058: images/TG27_I058.png
TG27_I059: images/TG27_I059.png
TG27_I060: images/TG27_I060.png
TG27_I061: images/TG27_I061.png
TG27_I062: images/TG27_I062.png
TG27_I063: images/TG27_I063.png
TG27_I064: images/TG27_I064.png
TG27_I065: images/TG27_I065.png
TG27_I066: images/TG27_I066.png
TG27_I067: images/TG27_I067.png
TG27_I068: images/TG27_I068.png
TG27_I069: images/TG27_I069.png
TG27_I070: images/TG27_I070.png
TG27_I071: images/TG27_I071.png
TG27_I072: images/TG27_I072.png
TG27_I073: images/TG27_I073.png
TG27_I074: images/TG27_I074.png
TG27_I075: images/TG27_I075.png
TG27_I076: images/TG27_I076.png
TG27_I077: images/TG27_I077.png
TG27_I078: images/TG27_I078.png
