blind_id,task,repeat,condition,round,source,brief_intent_alignment,clarity_information_hierarchy,visual_system_craft,expressiveness_distinctiveness,overall
TG01_I001,ab000001,1,CEN_MAD,2,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/CEN_MAD/problems/ab000001/candidates/r2.png,74,72,76,70,73
TG01_I002,ab000001,2,MAD,2,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/MAD/problems/ab000001/candidates/r2.png,31,42,45,39,35
TG01_I003,ab000001,2,AXES,5,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/AXES/problems/ab000001/candidates/r5.png,24,36,38,31,28
TG01_I004,ab000001,1,FUSED,5,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/FUSED/problems/ab000001/candidates/r5.png,79,80,82,76,80
TG01_I005,ab000001,2,SELF,5,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/SELF/problems/ab000001/candidates/r5.png,22,34,37,30,26
TG01_I006,ab000001,2,CEN_MAD,5,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/CEN_MAD/problems/ab000001/candidates/r5.png,76,68,80,84,75
TG01_I007,ab000001,0,MAD,5,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_0/shards/q38a/MAD/problems/ab000001/candidates/r5.png,88,84,87,82,86
TG01_I008,ab000001,0,FUSED,4,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_0/shards/q38a/FUSED/problems/ab000001/candidates/r4.png,90,86,88,80,87
TG01_I009,ab000001,2,FUSED,3,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/FUSED/problems/ab000001/candidates/r3.png,34,46,49,45,39
TG01_I010,ab000001,2,AXES,4,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/AXES/problems/ab000001/candidates/r4.png,20,31,34,28,24
TG01_I011,ab000001,0,SELF,3,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_0/shards/q38a/SELF/problems/ab000001/candidates/r3.png,87,85,86,78,85
TG01_I012,ab000001,0,R0,0,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_0/shards/q38a/SELF/problems/ab000001/candidates/r0.png,78,72,82,85,77
TG01_I013,ab000001,0,FUSED,3,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_0/shards/q38a/FUSED/problems/ab000001/candidates/r3.png,89,87,88,79,87
TG01_I014,ab000001,0,CEN_MAD,2,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_0/shards/q38a/CEN_MAD/problems/ab000001/candidates/r2.png,73,65,79,83,72
TG01_I015,ab000001,1,MAD,1,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/MAD/problems/ab000001/candidates/r1.png,76,72,74,69,73
TG01_I016,ab000001,0,AXES,3,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_0/shards/q38a/AXES/problems/ab000001/candidates/r3.png,75,64,81,85,72
TG01_I017,ab000001,2,FUSED,4,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/FUSED/problems/ab000001/candidates/r4.png,32,44,49,46,38
TG01_I018,ab000001,1,AXES,1,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/AXES/problems/ab000001/candidates/r1.png,70,69,73,72,70
TG01_I019,ab000001,1,AXES,3,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/AXES/problems/ab000001/candidates/r3.png,46,51,57,54,49
TG01_I020,ab000001,1,R0,0,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/SELF/problems/ab000001/candidates/r0.png,60,61,68,70,62
TG01_I021,ab000001,2,FUSED,5,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/FUSED/problems/ab000001/candidates/r5.png,30,42,48,44,36
TG01_I022,ab000001,2,MAD,1,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/MAD/problems/ab000001/candidates/r1.png,18,26,31,27,22
TG01_I023,ab000001,1,SELF,4,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/SELF/problems/ab000001/candidates/r4.png,55,58,65,67,58
TG01_I024,ab000001,0,SELF,5,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_0/shards/q38a/SELF/problems/ab000001/candidates/r5.png,86,83,85,78,84
TG01_I025,ab000001,1,SELF,3,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/SELF/problems/ab000001/candidates/r3.png,52,56,63,65,55
TG01_I026,ab000001,2,FUSED,1,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/FUSED/problems/ab000001/candidates/r1.png,18,25,31,27,22
TG01_I027,ab000001,1,CEN_MAD,1,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/CEN_MAD/problems/ab000001/candidates/r1.png,62,63,68,68,63
TG01_I028,ab000001,0,AXES,2,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_0/shards/q38a/AXES/problems/ab000001/candidates/r2.png,76,68,81,84,74
TG01_I029,ab000001,2,SELF,4,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/SELF/problems/ab000001/candidates/r4.png,17,25,30,25,21
TG01_I030,ab000001,0,CEN_MAD,5,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_0/shards/q38a/CEN_MAD/problems/ab000001/candidates/r5.png,88,84,86,82,86
TG01_I031,ab000001,0,MAD,1,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_0/shards/q38a/MAD/problems/ab000001/candidates/r1.png,70,60,77,84,68
TG01_I032,ab000001,0,MAD,4,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_0/shards/q38a/MAD/problems/ab000001/candidates/r4.png,82,76,82,81,79
TG01_I033,ab000001,2,SELF,3,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/SELF/problems/ab000001/candidates/r3.png,18,26,31,27,22
TG01_I034,ab000001,1,SELF,5,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/SELF/problems/ab000001/candidates/r5.png,74,66,79,83,72
TG01_I035,ab000001,2,CEN_MAD,3,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/CEN_MAD/problems/ab000001/candidates/r3.png,51,55,63,66,55
TG01_I036,ab000001,1,FUSED,2,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/FUSED/problems/ab000001/candidates/r2.png,72,70,73,69,71
TG01_I037,ab000001,0,FUSED,1,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_0/shards/q38a/FUSED/problems/ab000001/candidates/r1.png,18,25,31,26,21
TG01_I038,ab000001,1,AXES,4,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/AXES/problems/ab000001/candidates/r4.png,53,57,64,67,56
TG01_I039,ab000001,0,AXES,5,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_0/shards/q38a/AXES/problems/ab000001/candidates/r5.png,88,84,87,80,86
TG01_I040,ab000001,1,CEN_MAD,3,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/CEN_MAD/problems/ab000001/candidates/r3.png,28,31,40,42,31
TG01_I041,ab000001,2,CEN_MAD,2,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/CEN_MAD/problems/ab000001/candidates/r2.png,87,83,85,78,84
TG01_I042,ab000001,2,CEN_MAD,1,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/CEN_MAD/problems/ab000001/candidates/r1.png,55,59,67,70,59
TG01_I043,ab000001,2,MAD,5,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/MAD/problems/ab000001/candidates/r5.png,81,76,82,76,79
TG01_I044,ab000001,1,AXES,2,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/AXES/problems/ab000001/candidates/r2.png,27,29,38,39,30
TG01_I045,ab000001,1,MAD,5,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/MAD/problems/ab000001/candidates/r5.png,25,31,39,43,29
TG01_I046,ab000001,2,R0,0,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/SELF/problems/ab000001/candidates/r0.png,30,41,47,43,35
TG01_I047,ab000001,2,AXES,1,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/AXES/problems/ab000001/candidates/r1.png,53,57,64,68,56
TG01_I048,ab000001,2,MAD,3,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/MAD/problems/ab000001/candidates/r3.png,28,40,46,42,34
TG01_I049,ab000001,0,CEN_MAD,3,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_0/shards/q38a/CEN_MAD/problems/ab000001/candidates/r3.png,72,63,78,82,70
TG01_I050,ab000001,2,CEN_MAD,4,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/CEN_MAD/problems/ab000001/candidates/r4.png,24,30,39,43,28
TG01_I051,ab000001,2,SELF,2,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_2/shards/q38a/SELF/problems/ab000001/candidates/r2.png,19,28,33,28,23
TG01_I052,ab000001,0,FUSED,2,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_0/shards/q38a/FUSED/problems/ab000001/candidates/r2.png,87,83,86,79,85
TG01_I053,ab000001,1,AXES,5,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/AXES/problems/ab000001/candidates/r5.png,49,52,61,65,53
TG01_I054,ab000001,1,CEN_MAD,5,results_b200_2/intent4_qwen38_27b_30task_3seed_5r/repeat_1/shards/q38a/CEN_MAD/problems/ab000001/candidates/r5.png,83,81,84,75,82
